Time(ms), Neuron ID
46223.000000, 4
46233.000000, 3
46243.000000, 2
46263.000000, 1
46303.000000, 0
47202.000000, 7
47203.000000, 8
47203.000000, 9
47203.000000, 10
47203.000000, 11
47203.000000, 12
47203.000000, 13
47204.000000, 6
47213.000000, 5
47223.000000, 4
47233.000000, 3
47243.000000, 2
47263.000000, 1
47303.000000, 0
48202.000000, 7
48203.000000, 8
48203.000000, 9
48203.000000, 10
48203.000000, 11
48203.000000, 12
48203.000000, 13
48204.000000, 6
48213.000000, 5
48223.000000, 4
48233.000000, 3
48243.000000, 2
48263.000000, 1
48303.000000, 0
49202.000000, 7
49203.000000, 8
49203.000000, 9
49203.000000, 10
49203.000000, 11
49203.000000, 12
49203.000000, 13
49204.000000, 6
49213.000000, 5
49223.000000, 4
49233.000000, 3
49243.000000, 2
49263.000000, 1
49303.000000, 0
50202.000000, 7
50203.000000, 8
50203.000000, 9
50203.000000, 10
50203.000000, 11
50203.000000, 12
50203.000000, 13
50204.000000, 6
50213.000000, 5
50223.000000, 4
50233.000000, 3
50243.000000, 2
50263.000000, 1
50303.000000, 0
51202.000000, 7
51203.000000, 8
51203.000000, 9
51203.000000, 10
51203.000000, 11
51203.000000, 12
51203.000000, 13
51204.000000, 6
51213.000000, 5
51223.000000, 4
51233.000000, 3
51243.000000, 2
51263.000000, 1
51303.000000, 0
52202.000000, 7
52203.000000, 8
52203.000000, 9
52203.000000, 10
52203.000000, 11
52203.000000, 12
52203.000000, 13
52204.000000, 6
52213.000000, 5
52223.000000, 4
52233.000000, 3
52243.000000, 2
52263.000000, 1
52303.000000, 0
53202.000000, 7
53203.000000, 8
53203.000000, 9
53203.000000, 10
53203.000000, 11
53203.000000, 12
53203.000000, 13
53204.000000, 6
53213.000000, 5
53223.000000, 4
53233.000000, 3
53243.000000, 2
53263.000000, 1
53303.000000, 0
54202.000000, 7
54203.000000, 8
54203.000000, 9
54203.000000, 10
54203.000000, 11
54203.000000, 12
54203.000000, 13
54204.000000, 6
54213.000000, 5
54223.000000, 4
54233.000000, 3
54243.000000, 2
54263.000000, 1
54303.000000, 0
55202.000000, 7
55203.000000, 8
55203.000000, 9
55203.000000, 10
55203.000000, 11
55203.000000, 12
55203.000000, 13
55204.000000, 6
55213.000000, 5
55223.000000, 4
55233.000000, 3
55243.000000, 2
55263.000000, 1
55303.000000, 0
56202.000000, 7
56203.000000, 8
56203.000000, 9
56203.000000, 10
56203.000000, 11
56203.000000, 12
56203.000000, 13
56204.000000, 6
56213.000000, 5
56223.000000, 4
56233.000000, 3
