Time(ms), Neuron number, Voltage (mV)
14.400000, 2, -49.552528
14.400000, 3, -67.597435
14.500000, 0, -67.697487
14.500000, 1, -55.273544
14.500000, 2, -49.363693
14.500000, 3, -67.709358
14.600000, 0, -67.633110
14.600000, 1, -54.720108
14.600000, 2, -49.151081
14.600000, 3, -67.812950
14.700000, 0, -67.568306
14.700000, 1, -54.129627
14.700000, 2, -48.911800
14.700000, 3, -67.908478
14.800000, 0, -67.503082
14.800000, 1, -53.497253
14.800000, 2, -48.642498
14.800000, 3, -67.996208
14.900000, 0, -67.437431
14.900000, 1, -52.817230
14.900000, 2, -48.339272
14.900000, 3, -68.076424
15.000000, 0, -67.371361
15.000000, 1, -52.082676
15.000000, 2, -47.997562
15.000000, 3, -68.149406
15.100000, 0, -67.304871
15.100000, 1, -51.285278
15.100000, 2, -47.611992
15.100000, 3, -68.215439
15.200000, 0, -67.237953
15.200000, 1, -50.414932
15.200000, 2, -47.176167
15.200000, 3, -68.274811
15.300000, 0, -67.170616
15.300000, 1, -49.459236
15.300000, 2, -46.682446
15.300000, 3, -68.327797
15.400000, 0, -67.102844
15.400000, 1, -48.402786
15.400000, 2, -46.121601
15.400000, 3, -68.374680
15.500000, 0, -67.034645
15.500000, 1, -47.226242
15.500000, 2, -45.482391
15.500000, 3, -68.415733
15.600000, 0, -66.966011
15.600000, 1, -45.904991
15.600000, 2, -44.750984
15.600000, 3, -68.451225
15.700000, 0, -66.896927
15.700000, 1, -44.407246
15.700000, 2, -43.910156
15.700000, 3, -68.481422
15.800000, 0, -66.827400
15.800000, 1, -42.691235
15.800000, 2, -42.938183
15.800000, 3, -68.506569
15.900000, 0, -66.757423
15.900000, 1, -40.701027
15.900000, 2, -41.807281
15.900000, 3, -68.526917
16.000000, 0, -66.686981
16.000000, 1, -38.360054
16.000000, 2, -40.481350
16.000000, 3, -68.542702
16.100000, 0, -66.616081
16.100000, 1, -35.560734
16.100000, 2, -38.912613
16.100000, 3, -68.554146
16.200000, 0, -66.544708
16.200000, 1, -32.147285
16.200000, 2, -37.036541
16.200000, 3, -68.561478
16.300000, 0, -66.472855
16.300000, 1, -27.885817
16.300000, 2, -34.763870
16.300000, 3, -68.564903
16.400000, 0, -66.400513
16.400000, 1, -22.409418
16.400000, 2, -31.967642
16.400000, 3, -68.564629
16.500000, 0, -66.327675
16.500000, 1, -15.110373
16.500000, 2, -28.461256
16.500000, 3, -68.560844
16.600000, 0, -66.254326
16.600000, 1, -4.910203
16.600000, 2, -23.959435
16.600000, 3, -68.553726
16.700000, 0, -66.180458
16.700000, 1, 10.286270
16.700000, 2, -18.004467
16.700000, 3, -68.543449
16.800000, 0, -66.106056
16.800000, 1, 35.086086
16.800000, 2, -9.816322
16.800000, 3, -68.530182
16.900000, 0, -66.031113
16.900000, 1, -64.950485
16.900000, 2, 2.041679
16.900000, 3, -68.514084
17.000000, 0, -65.955627
17.000000, 1, -64.889084
17.000000, 2, 20.504566
17.000000, 3, -68.495300
17.100000, 0, -65.879570
17.100000, 1, -64.816277
17.100000, 2, 52.505775
17.100000, 3, -68.473969
17.200000, 0, -65.802925
17.200000, 1, -64.732521
17.200000, 2, -50.009785
17.200000, 3, -68.450226
17.300000, 0, -65.725693
17.300000, 1, -64.638245
17.300000, 2, -50.016434
17.300000, 3, -68.424187
17.400000, 0, -65.647842
17.400000, 1, -64.533844
17.400000, 2, -50.019646
17.400000, 3, -68.395981
17.500000, 0, -65.569374
17.500000, 1, -64.419678
17.500000, 2, -50.019081
17.500000, 3, -68.365715
17.600000, 0, -65.490257
17.600000, 1, -64.296074
17.600000, 2, -50.014374
17.600000, 3, -68.333504
17.700000, 0, -65.410484
17.700000, 1, -64.163330
17.700000, 2, -50.005116
17.700000, 3, -68.299431
17.800000, 0, -65.330032
17.800000, 1, -64.021713
17.800000, 2, -49.990852
17.800000, 3, -68.263596
17.900000, 0, -65.248886
17.900000, 1, -63.871449
17.900000, 2, -49.971092
17.900000, 3, -68.226082
18.000000, 0, -65.167015
18.000000, 1, -63.712730
18.000000, 2, -49.945282
18.000000, 3, -68.186974
18.100000, 0, -65.084404
18.100000, 1, -63.545719
18.100000, 2, -49.912815
18.100000, 3, -68.146347
18.200000, 0, -65.001038
18.200000, 1, -63.370537
18.200000, 2, -49.873016
18.200000, 3, -68.104271
18.300000, 0, -64.916893
18.300000, 1, -63.187271
18.300000, 2, -49.825138
18.300000, 3, -68.060814
18.400000, 0, -64.831932
18.400000, 1, -62.995968
18.400000, 2, -49.768341
18.400000, 3, -68.016045
18.500000, 0, -64.746147
18.500000, 1, -62.796642
18.500000, 2, -49.701694
18.500000, 3, -67.970016
18.600000, 0, -64.659500
18.600000, 1, -62.589272
18.600000, 2, -49.624157
18.600000, 3, -67.922783
18.700000, 0, -64.571960
18.700000, 1, -62.373779
18.700000, 2, -49.534554
18.700000, 3, -67.874397
18.800000, 0, -64.483505
18.800000, 1, -62.150059
18.800000, 2, -49.431572
18.800000, 3, -67.824905
18.900000, 0, -64.394104
18.900000, 1, -61.917957
18.900000, 2, -49.313728
18.900000, 3, -67.774353
19.000000, 0, -64.303719
19.000000, 1, -61.677269
19.000000, 2, -49.179340
19.000000, 3, -67.722778
19.100000, 0, -64.212326
19.100000, 1, -61.427742
19.100000, 2, -49.026497
19.100000, 3, -67.670227
19.200000, 0, -64.119881
19.200000, 1, -61.169071
19.200000, 2, -48.853024
19.200000, 3, -67.616737
19.300000, 0, -64.026352
19.300000, 1, -60.900890
19.300000, 2, -48.656422
19.300000, 3, -67.562325
19.400000, 0, -63.931705
19.400000, 1, -60.622768
19.400000, 2, -48.433819
19.400000, 3, -67.507027
19.500000, 0, -63.835892
19.500000, 1, -60.334206
19.500000, 2, -48.181892
19.500000, 3, -67.450882
19.600000, 0, -63.738865
19.600000, 1, -60.034622
19.600000, 2, -47.896770
19.600000, 3, -67.393906
19.700000, 0, -63.640591
19.700000, 1, -59.723358
19.700000, 2, -47.573933
19.700000, 3, -67.336128
19.800000, 0, -63.541016
19.800000, 1, -59.399651
19.800000, 2, -47.208042
19.800000, 3, -67.277565
19.900000, 0, -63.440090
19.900000, 1, -59.062626
19.900000, 2, -46.792778
19.900000, 3, -67.218231
20.000000, 0, -63.337757
20.000000, 1, -58.711292
20.000000, 2, -46.320568
20.000000, 3, -67.158150
20.100000, 0, -63.233967
20.100000, 1, -58.344509
20.100000, 2, -45.782291
20.100000, 3, -67.097343
20.200000, 0, -63.128654
20.200000, 1, -57.960983
20.200000, 2, -45.166840
20.200000, 3, -67.035820
20.300000, 0, -63.021767
20.300000, 1, -57.559219
20.300000, 2, -44.460556
20.300000, 3, -66.973595
20.400000, 0, -62.913227
20.400000, 1, -57.137512
20.400000, 2, -43.646454
20.400000, 3, -66.910683
20.500000, 0, -62.802971
20.500000, 1, -56.693897
20.500000, 2, -42.703125
20.500000, 3, -66.847084
20.600000, 0, -62.690926
20.600000, 1, -56.226105
20.600000, 2, -41.603241
20.600000, 3, -66.782806
20.700000, 0, -62.577007
20.700000, 1, -55.731514
20.700000, 2, -40.311321
20.700000, 3, -66.717865
20.800000, 0, -62.461136
20.800000, 1, -55.207073
20.800000, 2, -38.780487
20.800000, 3, -66.652260
20.900000, 0, -62.343224
20.900000, 1, -54.649216
20.900000, 2, -36.947525
20.900000, 3, -66.585999
21.000000, 0, -62.223179
21.000000, 1, -54.053753
21.000000, 2, -34.725143
21.000000, 3, -66.519089
21.100000, 0, -62.100903
21.100000, 1, -53.415733
21.100000, 2, -31.989470
21.100000, 3, -66.451530
21.200000, 0, -61.976284
21.200000, 1, -52.729279
21.200000, 2, -28.558882
21.200000, 3, -66.383316
21.300000, 0, -61.849209
21.300000, 1, -51.987335
21.300000, 2, -24.156540
21.300000, 3, -66.314453
21.400000, 0, -61.719555
21.400000, 1, -51.181404
21.400000, 2, -18.339905
21.400000, 3, -66.244942
21.500000, 0, -61.587200
21.500000, 1, -50.301117
21.500000, 2, -10.358259
21.500000, 3, -66.174774
21.600000, 0, -61.452003
21.600000, 1, -49.333736
21.600000, 2, 1.162810
21.600000, 3, -66.103958
21.700000, 0, -61.313812
21.700000, 1, -48.263432
21.700000, 2, 19.008373
21.700000, 3, -66.032478
21.800000, 0, -61.172474
21.800000, 1, -47.070286
21.800000, 2, 49.681107
21.800000, 3, -65.960335
21.900000, 0, -61.027817
21.900000, 1, -45.728909
21.900000, 2, -50.074799
21.900000, 3, -65.887520
22.000000, 0, -60.879650
22.000000, 1, -44.206440
22.000000, 2, -50.152828
22.000000, 3, -65.814026
22.100000, 0, -60.727787
22.100000, 1, -42.459614
22.100000, 2, -50.234379
22.100000, 3, -65.739845
22.200000, 0, -60.572006
22.200000, 1, -40.430340
22.200000, 2, -50.319763
22.200000, 3, -65.664970
22.300000, 0, -60.412083
22.300000, 1, -38.038849
22.300000, 2, -50.409321
22.300000, 3, -65.589386
22.400000, 0, -60.247765
22.400000, 1, -35.172676
22.400000, 2, -50.503414
22.400000, 3, -65.513092
22.500000, 0, -60.078789
22.500000, 1, -31.668285
22.500000, 2, -50.602428
22.500000, 3, -65.436066
22.600000, 0, -59.904861
22.600000, 1, -27.278915
22.600000, 2, -50.706776
22.600000, 3, -65.358292
22.700000, 0, -59.725658
22.700000, 1, -21.615086
22.700000, 2, -50.816898
22.700000, 3, -65.279762
22.800000, 0, -59.540844
22.800000, 1, -14.026708
22.800000, 2, -50.933266
22.800000, 3, -65.200462
22.900000, 0, -59.350037
22.900000, 1, -3.348603
22.900000, 2, -51.056374
22.900000, 3, -65.120377
23.000000, 0, -59.152824
23.000000, 1, 12.713152
23.000000, 2, -51.186741
23.000000, 3, -65.039482
23.100000, 0, -58.948757
23.100000, 1, 39.297924
23.100000, 2, -51.324917
23.100000, 3, -64.957771
23.200000, 0, -58.737343
23.200000, 1, -64.955330
23.200000, 2, -51.471478
23.200000, 3, -64.875214
23.300000, 0, -58.518032
23.300000, 1, -64.898575
23.300000, 2, -51.627022
23.300000, 3, -64.791786
23.400000, 0, -58.290230
23.400000, 1, -64.830238
23.400000, 2, -51.792168
23.400000, 3, -64.707474
23.500000, 0, -58.053272
23.500000, 1, -64.750778
23.500000, 2, -51.967552
23.500000, 3, -64.622246
23.600000, 0, -57.806423
23.600000, 1, -64.660637
23.600000, 2, -52.153828
23.600000, 3, -64.536079
23.700000, 0, -57.548862
23.700000, 1, -64.560204
23.700000, 2, -52.351654
23.700000, 3, -64.448952
23.800000, 0, -57.279686
23.800000, 1, -64.449875
23.800000, 2, -52.561691
23.800000, 3, -64.360825
23.900000, 0, -56.997875
23.900000, 1, -64.329979
23.900000, 2, -52.784595
23.900000, 3, -64.271675
24.000000, 0, -56.702290
24.000000, 1, -64.200821
24.000000, 2, -53.021008
24.000000, 3, -64.181473
24.100000, 0, -56.391647
24.100000, 1, -64.062683
24.100000, 2, -53.271549
24.100000, 3, -64.090179
24.200000, 0, -56.064499
24.200000, 1, -63.915802
24.200000, 2, -53.536804
24.200000, 3, -63.997772
24.300000, 0, -55.719204
24.300000, 1, -63.760387
24.300000, 2, -53.817303
24.300000, 3, -63.904205
24.400000, 0, -55.353893
24.400000, 1, -63.596611
24.400000, 2, -54.113522
24.400000, 3, -63.809437
24.500000, 0, -54.966427
24.500000, 1, -63.424610
24.500000, 2, -54.425861
24.500000, 3, -63.713428
24.600000, 0, -54.554356
24.600000, 1, -63.244484
24.600000, 2, -54.754631
24.600000, 3, -63.616135
24.700000, 0, -54.114857
24.700000, 1, -63.056293
24.700000, 2, -55.100029
24.700000, 3, -63.517513
24.800000, 0, -53.644646
